REF_DATE,VALUE,from,dim_trad,dim_mode,dim_years,dim_type,to
2009,50,7,3,1,2,1,7
2009,5,7,3,1,2,1,8
2009,10,7,4,1,1,1,6
2009,835,7,4,1,1,1,7
2009,20,7,4,1,1,1,8
2009,10,7,4,1,1,1,9
2009,5,7,4,1,1,1,10
2009,5,7,4,1,2,1,3
2009,15,7,4,1,2,1,6
2009,805,7,4,1,2,1,7
2009,30,7,4,1,2,1,8
2009,10,7,4,1,2,1,9
2009,10,7,4,1,2,1,10
2009,10,8,1,1,1,1,7
2009,725,8,1,1,1,1,8
2009,15,8,1,1,1,1,9
2009,5,8,1,1,1,1,10
2009,10,8,1,1,2,1,7
2009,715,8,1,1,2,1,8
2009,20,8,1,1,2,1,9
2009,5,8,1,1,2,1,10
2009,220,8,2,1,1,1,8
2009,10,8,2,1,1,1,9
2009,5,8,2,1,2,1,7
2009,215,8,2,1,2,1,8
2009,5,8,2,1,2,1,9
2009,40,8,3,1,1,1,8
2009,40,8,3,1,2,1,8
2009,5,8,3,1,2,1,9
2009,10,8,4,1,1,1,7
2009,985,8,4,1,1,1,8
2009,25,8,4,1,1,1,9
2009,5,8,4,1,1,1,10
2009,15,8,4,1,2,1,7
2009,970,8,4,1,2,1,8
2009,30,8,4,1,2,1,9
2009,5,8,4,1,2,1,10
2009,20,9,1,1,1,1,1
2009,10,9,1,1,1,1,3
2009,5,9,1,1,1,1,4
2009,5,9,1,1,1,1,5
2009,45,9,1,1,1,1,6
2009,15,9,1,1,1,1,7
2009,125,9,1,1,1,1,8
2009,4450,9,1,1,1,1,9
2009,115,9,1,1,1,1,10
2009,5,9,1,1,1,1,11
2009,25,9,1,1,2,1,1
2009,5,9,1,1,2,1,2
2009,5,9,1,1,2,1,3
2009,10,9,1,1,2,1,4
2009,10,9,1,1,2,1,5
2009,45,9,1,1,2,1,6
2009,15,9,1,1,2,1,7
2009,140,9,1,1,2,1,8
2009,4395,9,1,1,2,1,9
2009,155,9,1,1,2,1,10
2009,10,9,2,1,1,1,1
2009,5,9,2,1,1,1,3
2009,5,9,2,1,1,1,4
2009,5,9,2,1,1,1,6
2009,5,9,2,1,1,1,7
2009,40,9,2,1,1,1,8
2009,1395,9,2,1,1,1,9
2009,50,9,2,1,1,1,10
2009,10,9,2,1,2,1,1
2009,10,9,2,1,2,1,3
2009,5,9,2,1,2,1,4
2009,10,9,2,1,2,1,6
2009,5,9,2,1,2,1,7
2009,45,9,2,1,2,1,8
2009,1395,9,2,1,2,1,9
2009,50,9,2,1,2,1,10
2009,5,9,3,1,1,1,2
2009,5,9,3,1,1,1,8
2009,350,9,3,1,1,1,9
2009,10,9,3,1,1,1,10
2009,5,9,3,1,2,1,1
2009,5,9,3,1,2,1,7
2009,5,9,3,1,2,1,8
2009,350,9,3,1,2,1,9
2009,10,9,3,1,2,1,10
2009,30,9,4,1,1,1,1
2009,5,9,4,1,1,1,2
2009,15,9,4,1,1,1,3
2009,10,9,4,1,1,1,4
2009,5,9,4,1,1,1,5
2009,50,9,4,1,1,1,6
2009,20,9,4,1,1,1,7
2009,170,9,4,1,1,1,8
2009,6195,9,4,1,1,1,9
2009,175,9,4,1,1,1,10
2009,5,9,4,1,1,1,11
2009,40,9,4,1,2,1,1
2009,5,9,4,1,2,1,2
2009,15,9,4,1,2,1,3
2009,15,9,4,1,2,1,4
2009,10,9,4,1,2,1,5
2009,55,9,4,1,2,1,6
2009,25,9,4,1,2,1,7
2009,190,9,4,1,2,1,8
2009,6140,9,4,1,2,1,9
2009,215,9,4,1,2,1,10
2009,5,10,1,1,1,1,2
2009,5,10,1,1,1,1,3
2009,10,10,1,1,1,1,6
2009,10,10,1,1,1,1,8
2009,45,10,1,1,1,1,9
2009,2105,10,1,1,1,1,10
2009,10,10,1,1,2,1,3
2009,10,10,1,1,2,1,6
2009,5,10,1,1,2,1,7
2009,10,10,1,1,2,1,8
2009,75,10,1,1,2,1,9
2009,2085,10,1,1,2,1,10
2009,5,10,1,1,2,1,11
2009,5,10,2,1,1,1,1
2009,5,10,2,1,1,1,3
2009,5,10,2,1,1,1,5
2009,5,10,2,1,1,1,7
2009,15,10,2,1,1,1,9
2009,695,10,2,1,1,1,10
2009,5,10,2,1,1,1,11
2009,5,10,2,1,2,1,4
2009,5,10,2,1,2,1,5
2009,20,10,2,1,2,1,9
2009,690,10,2,1,2,1,10
2009,5,10,3,1,1,1,6
2009,5,10,3,1,1,1,8
2009,15,10,3,1,1,1,9
2009,530,10,3,1,1,1,10
2009,5,10,3,1,2,1,1
2009,10,10,3,1,2,1,6
2009,5,10,3,1,2,1,8
2009,25,10,3,1,2,1,9
2009,515,10,3,1,2,1,10
2009,5,10,4,1,1,1,1
2009,5,10,4,1,1,1,2
2009,10,10,4,1,1,1,3
2009,5,10,4,1,1,1,5
2009,15,10,4,1,1,1,6
2009,5,10,4,1,1,1,7
2009,15,10,4,1,1,1,8
2009,75,10,4,1,1,1,9
2009,3330,10,4,1,1,1,10
2009,5,10,4,1,1,1,11
2009,5,10,4,1,2,1,1
2009,10,10,4,1,2,1,3
2009,5,10,4,1,2,1,4
2009,5,10,4,1,2,1,5
2009,20,10,4,1,2,1,6
2009,5,10,4,1,2,1,7
2009,15,10,4,1,2,1,8
2009,120,10,4,1,2,1,9
2009,3290,10,4,1,2,1,10
2009,5,10,4,1,2,1,11
2009,70,11,1,1,1,1,11
2009,5,11,1,1,2,1,9
2009,5,11,1,1,2,1,10
2009,60,11,1,1,2,1,11
2009,25,11,2,1,1,1,11
2009,25,11,2,1,2,1,11
2009,100,11,4,1,1,1,11
2009,5,11,4,1,2,1,9
2009,5,11,4,1,2,1,10
2009,90,11,4,1,2,1,11
2010,320,1,1,1,1,1,1
2010,5,1,1,1,1,1,4
2010,5,1,1,1,1,1,6
2010,10,1,1,1,1,1,9
2010,330,1,1,1,2,1,1
2010,10,1,1,1,2,1,9
2010,5,1,1,1,2,1,10
2010,80,1,2,1,1,1,1
2010,80,1,2,1,2,1,1
2010,5,1,2,1,2,1,9
2010,405,1,4,1,1,1,1
2010,5,1,4,1,1,1,4
2010,5,1,4,1,1,1,6
2010,10,1,4,1,1,1,9
2010,415,1,4,1,2,1,1
2010,15,1,4,1,2,1,9
2010,5,1,4,1,2,1,10
2010,5,2,1,1,1,1,1
2010,55,2,1,1,1,1,2
2010,5,2,1,1,1,1,6
2010,10,2,1,1,1,1,9
2010,50,2,1,1,2,1,2
2010,5,2,1,1,2,1,6
2010,10,2,1,1,2,1,9
2010,15,2,2,1,1,1,2
2010,15,2,2,1,2,1,2
2010,5,2,4,1,1,1,1
2010,70,2,4,1,1,1,2
2010,5,2,4,1,1,1,6
2010,10,2,4,1,1,1,9
2010,65,2,4,1,2,1,2
2010,5,2,4,1,2,1,6
2010,10,2,4,1,2,1,9
2010,255,3,1,1,1,1,3
2010,5,3,1,1,1,1,6
2010,5,3,1,1,1,1,8
2010,5,3,1,1,1,1,9
2010,5,3,1,1,1,1,10
2010,5,3,1,1,2,1,2
2010,245,3,1,1,2,1,3
